product_prices,product_page_links,product_ids,image_links
29.99,/en_ca/productpage.1131313001.html,1131313001,"//lp2.hm.com/hmgoepprod?set=source[/97/60/976036885acabf524326a43b88b48abe0cfb3e12.jpg],origin[dam],category[],type[DESCRIPTIVESTILLLIFE],res[m],hmver[2]&call=url[file:/product/main]"
32.99,/en_ca/productpage.1090385006.html,1090385006,"//lp2.hm.com/hmgoepprod?set=source[/29/16/29163a7038be26f7641c8c88fcd5325309beb63e.jpg],origin[dam],category[kids_baby_girl_outerwear_jacketscoats],type[DESCRIPTIVESTILLLIFE],res[m],hmver[2]&call=url[file:/product/main]"
74.99,/en_ca/productpage.0882037014.html,882037014,"//lp2.hm.com/hmgoepprod?set=source[/9f/8f/9f8f6ce1f5630e72b6ea58f66a0c67e76b564e4e.jpg],origin[dam],category[kids_baby_girl_outerwear_snowsuits],type[DESCRIPTIVESTILLLIFE],res[m],hmver[1]&call=url[file:/product/main]"
54.99,/en_ca/productpage.0887085024.html,887085024,"//lp2.hm.com/hmgoepprod?set=source[/57/27/572712156fb4deea30c046b44b5e65af0d1f2514.jpg],origin[dam],category[],type[DESCRIPTIVESTILLLIFE],res[m],hmver[2]&call=url[file:/product/main]"
19.99,/en_ca/productpage.0923479011.html,923479011,"//lp2.hm.com/hmgoepprod?set=source[/3f/b2/3fb2c5257f5956c4e4cef41e8f5bfd54b2a46309.jpg],origin[dam],category[],type[DESCRIPTIVESTILLLIFE],res[m],hmver[2]&call=url[file:/product/main]"
34.99,/en_ca/productpage.1115545001.html,1115545001,"//lp2.hm.com/hmgoepprod?set=source[/8c/6c/8c6c9294ed506437f933f230ac0429f695e9aae5.jpg],origin[dam],category[],type[DESCRIPTIVESTILLLIFE],res[m],hmver[2]&call=url[file:/product/main]"
74.99,/en_ca/productpage.0882037015.html,882037015,"//lp2.hm.com/hmgoepprod?set=source[/fe/61/fe61cc686ab24478ec973ec5c594e83309b53773.jpg],origin[dam],category[kids_baby_girl_outerwear_snowsuits],type[DESCRIPTIVESTILLLIFE],res[m],hmver[2]&call=url[file:/product/main]"
34.99,/en_ca/productpage.1132707001.html,1132707001,"//lp2.hm.com/hmgoepprod?set=source[/4a/7a/4a7a7df30fef76e09efcf509eac0dc278f79a362.jpg],origin[dam],category[],type[DESCRIPTIVESTILLLIFE],res[m],hmver[2]&call=url[file:/product/main]"
24.99,/en_ca/productpage.1083484001.html,1083484001,"//lp2.hm.com/hmgoepprod?set=source[/9f/07/9f07570ab8b0dc959a6c6b6a4f1623d1d3395c04.jpg],origin[dam],category[],type[DESCRIPTIVESTILLLIFE],res[m],hmver[2]&call=url[file:/product/main]"
32.99,/en_ca/productpage.1090385005.html,1090385005,"//lp2.hm.com/hmgoepprod?set=source[/bd/8c/bd8c73e381b379829c5c270301c7f9387fddf460.jpg],origin[dam],category[kids_baby_girl_outerwear_jacketscoats],type[DESCRIPTIVESTILLLIFE],res[m],hmver[2]&call=url[file:/product/main]"
34.99,/en_ca/productpage.1003218005.html,1003218005,"//lp2.hm.com/hmgoepprod?set=source[/55/ca/55ca21d68ab78c7fe3a2f3f5b80b9c34bcd97f3a.jpg],origin[dam],category[kids_baby_boy_outerwear_jacketscoats],type[DESCRIPTIVESTILLLIFE],res[m],hmver[2]&call=url[file:/product/main]"
29.99,/en_ca/productpage.0999170009.html,999170009,"//lp2.hm.com/hmgoepprod?set=source[/a9/04/a904e170c88c420bcd97743dddc97bd26f77cbfc.jpg],origin[dam],category[],type[DESCRIPTIVESTILLLIFE],res[m],hmver[2]&call=url[file:/product/main]"
39.99,/en_ca/productpage.0857349011.html,857349011,"//lp2.hm.com/hmgoepprod?set=source[/78/45/78457a6b7bcc369d47afa6bb544b174853d3879e.jpg],origin[dam],category[],type[DESCRIPTIVESTILLLIFE],res[m],hmver[3]&call=url[file:/product/main]"
